,Interest,Week
0,1.54166666667,2004-01-04 - 2004-01-10
1,1.50980392157,2004-01-11 - 2004-01-17
2,1.35294117647,2004-01-18 - 2004-01-24
3,1.32692307692,2004-01-25 - 2004-01-31
4,1.36363636364,2004-02-01 - 2004-02-07
5,1.25925925926,2004-02-08 - 2004-02-14
6,1.33333333333,2004-02-15 - 2004-02-21
7,1.27272727273,2004-02-22 - 2004-02-28
8,1.45762711864,2004-02-29 - 2004-03-06
9,0.965517241379,2004-03-07 - 2004-03-13
10,1.39622641509,2004-03-14 - 2004-03-20
11,1.27777777778,2004-03-21 - 2004-03-27
12,1.22641509434,2004-03-28 - 2004-04-03
13,1.31481481481,2004-04-04 - 2004-04-10
14,1.26785714286,2004-04-11 - 2004-04-17
15,1.2962962963,2004-04-18 - 2004-04-24
16,1.27777777778,2004-04-25 - 2004-05-01
17,1.24528301887,2004-05-02 - 2004-05-08
18,1.33333333333,2004-05-09 - 2004-05-15
19,1.59183673469,2004-05-16 - 2004-05-22
20,1.33333333333,2004-05-23 - 2004-05-29
21,1.31914893617,2004-05-30 - 2004-06-05
22,1.32608695652,2004-06-06 - 2004-06-12
23,1.26086956522,2004-06-13 - 2004-06-19
24,1.55555555556,2004-06-20 - 2004-06-26
25,1.62222222222,2004-06-27 - 2004-07-03
26,1.54545454545,2004-07-04 - 2004-07-10
27,1.76086956522,2004-07-11 - 2004-07-17
28,1.62222222222,2004-07-18 - 2004-07-24
29,1.64444444444,2004-07-25 - 2004-07-31
30,1.63636363636,2004-08-01 - 2004-08-07
31,1.74418604651,2004-08-08 - 2004-08-14
32,1.59090909091,2004-08-15 - 2004-08-21
33,1.59090909091,2004-08-22 - 2004-08-28
34,1.32608695652,2004-08-29 - 2004-09-04
35,1.47826086957,2004-09-05 - 2004-09-11
36,1.375,2004-09-12 - 2004-09-18
37,1.4693877551,2004-09-19 - 2004-09-25
38,1.34693877551,2004-09-26 - 2004-10-02
39,1.32,2004-10-03 - 2004-10-09
40,1.27450980392,2004-10-10 - 2004-10-16
41,1.42857142857,2004-10-17 - 2004-10-23
42,1.45098039216,2004-10-24 - 2004-10-30
43,1.51020408163,2004-10-31 - 2004-11-06
44,1.12244897959,2004-11-07 - 2004-11-13
45,1.21568627451,2004-11-14 - 2004-11-20
46,1.15555555556,2004-11-21 - 2004-11-27
47,1.22448979592,2004-11-28 - 2004-12-04
48,1.36734693878,2004-12-05 - 2004-12-11
49,1.35555555556,2004-12-12 - 2004-12-18
50,1.34210526316,2004-12-19 - 2004-12-25
51,1.32432432432,2004-12-26 - 2005-01-01
52,1.37209302326,2005-01-02 - 2005-01-08
53,1.55555555556,2005-01-09 - 2005-01-15
54,1.51111111111,2005-01-16 - 2005-01-22
55,1.46666666667,2005-01-23 - 2005-01-29
56,1.65217391304,2005-01-30 - 2005-02-05
57,1.88888888889,2005-02-06 - 2005-02-12
58,1.5652173913,2005-02-13 - 2005-02-19
59,1.48936170213,2005-02-20 - 2005-02-26
60,1.45652173913,2005-02-27 - 2005-03-05
61,1.41304347826,2005-03-06 - 2005-03-12
62,1.47826086957,2005-03-13 - 2005-03-19
63,1.56818181818,2005-03-20 - 2005-03-26
64,1.47727272727,2005-03-27 - 2005-04-02
65,1.59574468085,2005-04-03 - 2005-04-09
66,1.4347826087,2005-04-10 - 2005-04-16
67,1.41304347826,2005-04-17 - 2005-04-23
68,1.5,2005-04-24 - 2005-04-30
69,1.45652173913,2005-05-01 - 2005-05-07
70,1.5,2005-05-08 - 2005-05-14
71,1.64285714286,2005-05-15 - 2005-05-21
72,1.61904761905,2005-05-22 - 2005-05-28
73,1.475,2005-05-29 - 2005-06-04
74,1.5,2005-06-05 - 2005-06-11
75,1.82051282051,2005-06-12 - 2005-06-18
76,1.61538461538,2005-06-19 - 2005-06-25
77,1.71052631579,2005-06-26 - 2005-07-02
78,1.69444444444,2005-07-03 - 2005-07-09
79,1.78947368421,2005-07-10 - 2005-07-16
80,1.89189189189,2005-07-17 - 2005-07-23
81,1.7027027027,2005-07-24 - 2005-07-30
82,1.91666666667,2005-07-31 - 2005-08-06
83,1.7027027027,2005-08-07 - 2005-08-13
84,1.97297297297,2005-08-14 - 2005-08-20
85,1.55263157895,2005-08-21 - 2005-08-27
86,1.64864864865,2005-08-28 - 2005-09-03
87,1.61538461538,2005-09-04 - 2005-09-10
88,1.45,2005-09-11 - 2005-09-17
89,1.70731707317,2005-09-18 - 2005-09-24
90,1.73170731707,2005-09-25 - 2005-10-01
91,1.41860465116,2005-10-02 - 2005-10-08
92,1.7619047619,2005-10-09 - 2005-10-15
93,1.76744186047,2005-10-16 - 2005-10-22
94,1.85714285714,2005-10-23 - 2005-10-29
95,1.54761904762,2005-10-30 - 2005-11-05
96,1.7380952381,2005-11-06 - 2005-11-12
97,1.54761904762,2005-11-13 - 2005-11-19
98,1.65789473684,2005-11-20 - 2005-11-26
99,1.56097560976,2005-11-27 - 2005-12-03
100,1.60975609756,2005-12-04 - 2005-12-10
101,1.4358974359,2005-12-11 - 2005-12-17
102,1.78787878788,2005-12-18 - 2005-12-24
103,1.44827586207,2005-12-25 - 2005-12-31
104,1.79411764706,2006-01-01 - 2006-01-07
105,1.72972972973,2006-01-08 - 2006-01-14
106,1.75675675676,2006-01-15 - 2006-01-21
107,1.71052631579,2006-01-22 - 2006-01-28
108,1.68421052632,2006-01-29 - 2006-02-04
109,1.76315789474,2006-02-05 - 2006-02-11
110,1.78378378378,2006-02-12 - 2006-02-18
111,1.68421052632,2006-02-19 - 2006-02-25
112,1.74358974359,2006-02-26 - 2006-03-04
113,1.73684210526,2006-03-05 - 2006-03-11
114,1.60526315789,2006-03-12 - 2006-03-18
115,1.81578947368,2006-03-19 - 2006-03-25
116,1.7027027027,2006-03-26 - 2006-04-01
117,1.68421052632,2006-04-02 - 2006-04-08
118,1.7027027027,2006-04-09 - 2006-04-15
119,1.7027027027,2006-04-16 - 2006-04-22
120,1.68421052632,2006-04-23 - 2006-04-29
121,1.67567567568,2006-04-30 - 2006-05-06
122,1.72222222222,2006-05-07 - 2006-05-13
123,1.71428571429,2006-05-14 - 2006-05-20
124,1.79411764706,2006-05-21 - 2006-05-27
125,1.85294117647,2006-05-28 - 2006-06-03
126,1.73529411765,2006-06-04 - 2006-06-10
127,1.91176470588,2006-06-11 - 2006-06-17
