,Interest,Week
0,1.83333333333,2004-01-04 - 2004-01-10
1,1.90196078431,2004-01-11 - 2004-01-17
2,1.88235294118,2004-01-18 - 2004-01-24
3,1.84615384615,2004-01-25 - 2004-01-31
4,1.8,2004-02-01 - 2004-02-07
5,1.72222222222,2004-02-08 - 2004-02-14
6,1.7962962963,2004-02-15 - 2004-02-21
7,1.67272727273,2004-02-22 - 2004-02-28
8,1.66101694915,2004-02-29 - 2004-03-06
9,1.56896551724,2004-03-07 - 2004-03-13
10,1.79245283019,2004-03-14 - 2004-03-20
11,1.7037037037,2004-03-21 - 2004-03-27
12,1.84905660377,2004-03-28 - 2004-04-03
13,1.72222222222,2004-04-04 - 2004-04-10
14,1.58928571429,2004-04-11 - 2004-04-17
15,1.72222222222,2004-04-18 - 2004-04-24
16,1.66666666667,2004-04-25 - 2004-05-01
17,1.69811320755,2004-05-02 - 2004-05-08
18,1.64705882353,2004-05-09 - 2004-05-15
19,1.75510204082,2004-05-16 - 2004-05-22
20,1.75,2004-05-23 - 2004-05-29
21,1.8085106383,2004-05-30 - 2004-06-05
22,2.0,2004-06-06 - 2004-06-12
23,1.76086956522,2004-06-13 - 2004-06-19
24,2.0,2004-06-20 - 2004-06-26
25,1.93333333333,2004-06-27 - 2004-07-03
26,1.95454545455,2004-07-04 - 2004-07-10
27,1.91304347826,2004-07-11 - 2004-07-17
28,2.04444444444,2004-07-18 - 2004-07-24
29,1.95555555556,2004-07-25 - 2004-07-31
30,1.97727272727,2004-08-01 - 2004-08-07
31,2.09302325581,2004-08-08 - 2004-08-14
32,1.93181818182,2004-08-15 - 2004-08-21
33,2.02272727273,2004-08-22 - 2004-08-28
34,1.84782608696,2004-08-29 - 2004-09-04
35,1.91304347826,2004-09-05 - 2004-09-11
36,1.875,2004-09-12 - 2004-09-18
37,1.97959183673,2004-09-19 - 2004-09-25
38,1.9387755102,2004-09-26 - 2004-10-02
39,1.96,2004-10-03 - 2004-10-09
40,1.90196078431,2004-10-10 - 2004-10-16
41,1.89795918367,2004-10-17 - 2004-10-23
42,1.86274509804,2004-10-24 - 2004-10-30
43,1.85714285714,2004-10-31 - 2004-11-06
44,1.95918367347,2004-11-07 - 2004-11-13
45,1.96078431373,2004-11-14 - 2004-11-20
46,1.93333333333,2004-11-21 - 2004-11-27
47,1.91836734694,2004-11-28 - 2004-12-04
48,1.81632653061,2004-12-05 - 2004-12-11
49,1.93333333333,2004-12-12 - 2004-12-18
50,1.97368421053,2004-12-19 - 2004-12-25
51,2.0,2004-12-26 - 2005-01-01
52,2.13953488372,2005-01-02 - 2005-01-08
53,1.91111111111,2005-01-09 - 2005-01-15
54,1.95555555556,2005-01-16 - 2005-01-22
55,2.0,2005-01-23 - 2005-01-29
56,2.0,2005-01-30 - 2005-02-05
57,2.06666666667,2005-02-06 - 2005-02-12
58,1.97826086957,2005-02-13 - 2005-02-19
59,2.0,2005-02-20 - 2005-02-26
60,2.04347826087,2005-02-27 - 2005-03-05
61,2.08695652174,2005-03-06 - 2005-03-12
62,1.97826086957,2005-03-13 - 2005-03-19
63,2.13636363636,2005-03-20 - 2005-03-26
64,1.95454545455,2005-03-27 - 2005-04-02
65,1.85106382979,2005-04-03 - 2005-04-09
66,1.97826086957,2005-04-10 - 2005-04-16
67,1.91304347826,2005-04-17 - 2005-04-23
68,1.97826086957,2005-04-24 - 2005-04-30
69,1.95652173913,2005-05-01 - 2005-05-07
70,1.90909090909,2005-05-08 - 2005-05-14
71,1.85714285714,2005-05-15 - 2005-05-21
72,1.85714285714,2005-05-22 - 2005-05-28
73,1.95,2005-05-29 - 2005-06-04
74,2.125,2005-06-05 - 2005-06-11
75,2.07692307692,2005-06-12 - 2005-06-18
76,2.10256410256,2005-06-19 - 2005-06-25
77,2.15789473684,2005-06-26 - 2005-07-02
78,2.19444444444,2005-07-03 - 2005-07-09
79,2.26315789474,2005-07-10 - 2005-07-16
80,2.37837837838,2005-07-17 - 2005-07-23
81,2.27027027027,2005-07-24 - 2005-07-30
82,2.25,2005-07-31 - 2005-08-06
83,2.27027027027,2005-08-07 - 2005-08-13
84,2.35135135135,2005-08-14 - 2005-08-20
85,2.26315789474,2005-08-21 - 2005-08-27
86,2.27027027027,2005-08-28 - 2005-09-03
87,2.17948717949,2005-09-04 - 2005-09-10
88,2.075,2005-09-11 - 2005-09-17
89,2.12195121951,2005-09-18 - 2005-09-24
90,2.17073170732,2005-09-25 - 2005-10-01
91,2.13953488372,2005-10-02 - 2005-10-08
92,2.16666666667,2005-10-09 - 2005-10-15
93,2.02325581395,2005-10-16 - 2005-10-22
94,2.04761904762,2005-10-23 - 2005-10-29
95,2.21428571429,2005-10-30 - 2005-11-05
96,2.14285714286,2005-11-06 - 2005-11-12
97,2.09523809524,2005-11-13 - 2005-11-19
98,2.21052631579,2005-11-20 - 2005-11-26
99,2.12195121951,2005-11-27 - 2005-12-03
100,2.09756097561,2005-12-04 - 2005-12-10
101,2.02564102564,2005-12-11 - 2005-12-17
102,2.39393939394,2005-12-18 - 2005-12-24
103,2.44827586207,2005-12-25 - 2005-12-31
104,2.38235294118,2006-01-01 - 2006-01-07
105,2.16216216216,2006-01-08 - 2006-01-14
