Name,Wikipage,Award,Field,Year,Gender,Status
Yoichiro Nambu,https://en.wikipedia.org/wiki/Yoichiro_Nambu,Nobel,Physics,2008,male,alive
Makoto Kobayashi,https://en.wikipedia.org/wiki/Makoto_Kobayashi_(physicist),Nobel,Physics,2008,male,alive
Toshihide Maskawa,https://en.wikipedia.org/wiki/Toshihide_Maskawa,Nobel,Physics,2008,male,alive
Charles K. Kao,https://en.wikipedia.org/wiki/Charles_K._Kao,Nobel,Physics,2009,male,alive
Willard S. Boyle,https://en.wikipedia.org/wiki/Willard_Boyle,Nobel,Physics,2009,male,alive
George E. Smith,https://en.wikipedia.org/wiki/George_E._Smith,Nobel,Physics,2009,male,alive
Andre Geim,https://en.wikipedia.org/wiki/Andre_Geim,Nobel,Physics,2010,male,alive
Konstantin Novoselov,https://en.wikipedia.org/wiki/Konstantin_Novoselov,Nobel,Physics,2010,male,alive
Saul Perlmutter,https://en.wikipedia.org/wiki/Saul_Perlmutter,Nobel,Physics,2011,male,alive
Adam G. Riess,https://en.wikipedia.org/wiki/Adam_Riess,Nobel,Physics,2011,male,alive
Brian Schmidt,https://en.wikipedia.org/wiki/Brian_Schmidt,Nobel,Physics,2011,male,alive
Serge Haroche,https://en.wikipedia.org/wiki/Serge_Haroche,Nobel,Physics,2012,male,alive
David J. Wineland,https://en.wikipedia.org/wiki/David_J._Wineland,Nobel,Physics,2012,male,alive
François Englert,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Englert,Nobel,Physics,2013,male,alive
Peter W. Higgs,https://en.wikipedia.org/wiki/Peter_Higgs,Nobel,Physics,2013,male,alive
Isamu Akasaki,https://en.wikipedia.org/wiki/Isamu_Akasaki,Nobel,Physics,2014,male,alive
Hiroshi Amano,https://en.wikipedia.org/wiki/Hiroshi_Amano,Nobel,Physics,2014,male,alive
Shuji Nakamura,https://en.wikipedia.org/wiki/Shuji_Nakamura,Nobel,Physics,2014,male,alive
Takaaki Kajita,https://en.wikipedia.org/wiki/Takaaki_Kajita,Nobel,Physics,2015,male,alive
Arthur B. McDonald,https://en.wikipedia.org/wiki/Arthur_B._McDonald,Nobel,Physics,2015,male,alive
Osamu Shimomura,https://en.wikipedia.org/wiki/Osamu_Shimomura,Nobel,Chemistry,2008,male,alive
Martin Chalfie,https://en.wikipedia.org/wiki/Martin_Chalfie,Nobel,Chemistry,2008,male,alive
Roger Y. Tsien,https://en.wikipedia.org/wiki/Roger_Y._Tsien,Nobel,Chemistry,2008,male,alive
Venkatraman Ramakrishnan,https://en.wikipedia.org/wiki/Venkatraman_Ramakrishnan,Nobel,Chemistry,2009,male,alive
Thomas A. Steitz,https://en.wikipedia.org/wiki/Thomas_A._Steitz,Nobel,Chemistry,2009,male,alive
Ada Yonath,https://en.wikipedia.org/wiki/Ada_Yonath,Nobel,Chemistry,2009,female,alive
Richard F. Heck,https://en.wikipedia.org/wiki/Richard_F._Heck,Nobel,Chemistry,2010,male,alive
Ei-ichi Negishi,https://en.wikipedia.org/wiki/Ei-ichi_Negishi,Nobel,Chemistry,2010,male,alive
Akira Suzuki,https://en.wikipedia.org/wiki/Akira_Suzuki_(chemist),Nobel,Chemistry,2010,male,alive
Dan Shechtman ,https://en.wikipedia.org/wiki/Dan_Shechtman,Nobel,Chemistry,2011,male,alive
Brian K. Kobilka,https://en.wikipedia.org/wiki/Brian_Kobilka,Nobel,Chemistry,2012,male,alive
Robert J. Lefkowitz,https://en.wikipedia.org/wiki/Robert_Lefkowitz,Nobel,Chemistry,2012,male,alive
Martin Karplus,https://en.wikipedia.org/wiki/Martin_Karplus,Nobel,Chemistry,2013,male,alive
Michael Levitt,https://en.wikipedia.org/wiki/Michael_Levitt,Nobel,Chemistry,2013,male,alive
Arieh Warshel,https://en.wikipedia.org/wiki/Arieh_Warshel,Nobel,Chemistry,2013,male,alive
Eric Betzig,https://en.wikipedia.org/wiki/Eric_Betzig,Nobel,Chemistry,2014,male,alive
Stefan Hell,https://en.wikipedia.org/wiki/Stefan_Hell,Nobel,Chemistry,2014,male,alive
William Moerner,https://en.wikipedia.org/wiki/William_E._Moerner,Nobel,Chemistry,2014,male,alive
Tomas Lindahl,https://en.wikipedia.org/wiki/Tomas_Lindahl,Nobel,Chemistry,2015,male,alive
Paul L. Modrich,https://en.wikipedia.org/wiki/Paul_L._Modrich,Nobel,Chemistry,2015,male,alive
Aziz Sancar,https://en.wikipedia.org/wiki/Aziz_Sancar,Nobel,Chemistry,2015,male,alive
Harald zur Hausen,https://en.wikipedia.org/wiki/Harald_zur_Hausen,Nobel,Physiology or Medicine,2008,male,alive
Françoise Barré-Sinoussi,https://en.wikipedia.org/wiki/Fran%C3%A7oise_Barr%C3%A9-Sinoussi,Nobel,Physiology or Medicine,2008,female,alive
Luc Montagnier,https://en.wikipedia.org/wiki/Luc_Montagnier,Nobel,Physiology or Medicine,2008,male,alive
Elizabeth Blackburn,https://en.wikipedia.org/wiki/Elizabeth_Blackburn,Nobel,Physiology or Medicine,2009,female,alive
Carol W. Greider,https://en.wikipedia.org/wiki/Carol_W._Greider,Nobel,Physiology or Medicine,2009,female,alive
Jack W. Szostak,https://en.wikipedia.org/wiki/Jack_W._Szostak,Nobel,Physiology or Medicine,2009,male,alive
Robert G. Edwards,https://en.wikipedia.org/wiki/Robert_Edwards_(physiologist),Nobel,Physiology or Medicine,2010,male,alive
Bruce Beutler,https://en.wikipedia.org/wiki/Bruce_Beutler,Nobel,Physiology or Medicine,2011,male,alive
Jules A. Hoffmann,https://en.wikipedia.org/wiki/Jules_A._Hoffmann,Nobel,Physiology or Medicine,2011,male,alive
Ralph M. Steinman,https://en.wikipedia.org/wiki/Ralph_M._Steinman,Nobel,Physiology or Medicine,2011,male,dead
John B. Gurdon,https://en.wikipedia.org/wiki/John_Gurdon,Nobel,Physiology or Medicine,2012,male,alive
Shinya Yamanaka,https://en.wikipedia.org/wiki/Shinya_Yamanaka,Nobel,Physiology or Medicine,2012,male,alive
James E. Rothman,https://en.wikipedia.org/wiki/James_Rothman,Nobel,Physiology or Medicine,2013,male,alive
Randy W. Schekman,https://en.wikipedia.org/wiki/Randy_Schekman,Nobel,Physiology or Medicine,2013,male,alive
Thomas C. Südhof,https://en.wikipedia.org/wiki/Thomas_C._S%C3%BCdhof,Nobel,Physiology or Medicine,2013,male,alive
John O'Keefe,https://en.wikipedia.org/wiki/John_O%27Keefe_(neuroscientist),Nobel,Physiology or Medicine,2014,male,alive
May-Britt Moser,https://en.wikipedia.org/wiki/May-Britt_Moser,Nobel,Physiology or Medicine,2014,female,alive
Edvard Moser,https://en.wikipedia.org/wiki/Edvard_Moser,Nobel,Physiology or Medicine,2014,male,alive
William C. Campbell,https://en.wikipedia.org/wiki/William_C._Campbell_(scientist),Nobel,Physiology or Medicine,2015,male,alive
Satoshi ?mura,https://en.wikipedia.org/wiki/Satoshi_%C5%8Cmura,Nobel,Physiology or Medicine,2015,male,alive
Tu Youyou,https://en.wikipedia.org/wiki/Tu_Youyou,Nobel,Physiology or Medicine,2015,female,alive
Paul Krugman,https://en.wikipedia.org/wiki/Paul_Krugman,Nobel,Economics,2008,male,alive
Elinor Ostrom,https://en.wikipedia.org/wiki/Elinor_Ostrom,Nobel,Economics,2009,female,alive
Oliver E. Williamson,https://en.wikipedia.org/wiki/Oliver_E._Williamson,Nobel,Economics,2009,male,alive
Peter A. Diamond,https://en.wikipedia.org/wiki/Peter_Diamond,Nobel,Economics,2010,male,alive
Dale T. Mortensen,https://en.wikipedia.org/wiki/Dale_T._Mortensen,Nobel,Economics,2010,male,alive
