Name,Wikipage,Award,Field,Research Topic,Year,Gender,Status
Yoichiro Nambu,https://en.wikipedia.org/wiki/Yoichiro_Nambu,Nobel,Physics,"Theoretical physics,  Subatomic physics, Broken symmetry ",2008,male,dead
Makoto Kobayashi,https://en.wikipedia.org/wiki/Makoto_Kobayashi_(physicist),Nobel,Physics,High energy physics,2008,male,alive
Toshihide Maskawa,https://en.wikipedia.org/wiki/Toshihide_Maskawa,Nobel,Physics,High energy physics,2008,male,alive
Osamu Shimomura,https://en.wikipedia.org/wiki/Osamu_Shimomura,Nobel,Chemistry,"Organic chemistry, Molecular Biology, Genetics",2008,male,alive
Martin Chalfie,https://en.wikipedia.org/wiki/Martin_Chalfie,Nobel,Chemistry,"Neurobiology, Organic chemistry, Molecular Biology, Genetics",2008,male,alive
Roger Y. Tsien,https://en.wikipedia.org/wiki/Roger_Y._Tsien,Nobel,Chemistry,"Biochemistry, Organic chemistry, Molecular Biology, Genetics",2008,male,alive
Harald zur Hausen,https://en.wikipedia.org/wiki/Harald_zur_Hausen,Nobel,Physiology or Medicine,Virology,2008,male,alive
Françoise Barré-Sinoussi,https://en.wikipedia.org/wiki/Fran%C3%A7oise_Barr%C3%A9-Sinoussi,Nobel,Physiology or Medicine,Virology,2008,female,alive
Luc Montagnier,https://en.wikipedia.org/wiki/Luc_Montagnier,Nobel,Physiology or Medicine,Virology,2008,male,alive
Paul Krugman,https://en.wikipedia.org/wiki/Paul_Krugman,Nobel,Economics,"International economics, Macroeconomics",2008,male,alive
Shizuo Akira,https://en.wikipedia.org/wiki/Shizuo_Akira,Citation Laureate,Physiology or Medicine,"Immunology, Innate host defense mechanisms",2008,male,alive
Bruce Beutler,https://en.wikipedia.org/wiki/Bruce_Beutler,Citation Laureate,Physiology or Medicine,"Immunology, Genetics",2008,male,alive
Jules A. Hoffmann,https://en.wikipedia.org/wiki/Jules_A._Hoffmann,Citation Laureate,Physiology or Medicine,"Immunology, Cell biology",2008,male,alive
Victor Ambros,https://en.wikipedia.org/wiki/Victor_Ambros,Citation Laureate,Physiology or Medicine,Molecular biology,2008,male,alive
Gary Ruvkun,https://en.wikipedia.org/wiki/Gary_Ruvkun,Citation Laureate,Physiology or Medicine,"Molecular biology, Genetics",2008,male,alive
Rory Collins,https://en.wikipedia.org/wiki/Rory_Collins,Citation Laureate,Physiology or Medicine,"Statin, Myocardial infarction, Hypercholesterolemia",2008,male,alive
Richard Peto,https://en.wikipedia.org/wiki/Richard_Peto,Citation Laureate,Physiology or Medicine,"Medical Statistics, Clinical Trials, Epidemiology of Smoking.",2008,male,alive
Andre Geim,https://en.wikipedia.org/wiki/Andre_Geim,Citation Laureate,Physics,Condensed matter physics,2008,male,alive
Konstantin Novoselov,https://en.wikipedia.org/wiki/Konstantin_Novoselov,Citation Laureate,Physics,Solid-state physics,2008,male,alive
Dan Shechtman ,https://en.wikipedia.org/wiki/Dan_Shechtman,Citation Laureate,Physics,Materials science,2008,male,alive
Vera Rubin,https://en.wikipedia.org/wiki/Vera_Rubin,Citation Laureate,Physics,"Astronomy,  Galaxy rotation problem",2008,female,alive
Roger Penrose,https://en.wikipedia.org/wiki/Roger_Penrose,Citation Laureate,Physics,"Mathematical physics, General relativity, Cosmology",2008,male,alive
Roger Y. Tsien,https://en.wikipedia.org/wiki/Roger_Y._Tsien,Citation Laureate,Chemistry,"Biochemistry, Organic chemistry, Molecular Biology, Genetics",2008,male,alive
Charles M. Lieber,https://en.wikipedia.org/wiki/Charles_M._Lieber,Citation Laureate,Chemistry,"Chemistry, Applied physics, Nanotechnology",2008,male,alive
Krzysztof Matyjaszewski,https://en.wikipedia.org/wiki/Krzysztof_Matyjaszewski,Citation Laureate,Chemistry,Polymer chemistry,2008,male,alive
Lars Peter Hansen,https://en.wikipedia.org/wiki/Lars_Peter_Hansen,Citation Laureate,Economics,Macroeconomics,2008,male,alive
Thomas J. Sargent,https://en.wikipedia.org/wiki/Thomas_J._Sargent,Citation Laureate,Economics,"Macroeconomics, Monetary economics",2008,male,alive
Christopher A. Sims,https://en.wikipedia.org/wiki/Christopher_A._Sims,Citation Laureate,Economics,"Macroeconomics, Econometrics, Time series",2008,male,alive
Armen Alchian,https://en.wikipedia.org/wiki/Armen_Alchian,Citation Laureate,Economics,"Economics, New institutional economics",2008,male,dead
Harold Demsetz,https://en.wikipedia.org/wiki/Harold_Demsetz,Citation Laureate,Economics,Managerial economics,2008,male,alive
Martin Feldstein,https://en.wikipedia.org/wiki/Martin_Feldstein,Citation Laureate,Economics,"Macroeconomics, Public economics",2008,male,alive
John G. Thompson,https://en.wikipedia.org/wiki/John_G._Thompson,Abel Prize,Mathematics,Group theory,2008,male,alive
Jacques Tits,https://en.wikipedia.org/wiki/Jacques_Tits,Abel Prize,Mathematics,"Group theory, Incidence geometry",2008,male,alive
G. David Tilman,https://en.wikipedia.org/wiki/G._David_Tilman,International Prize for Biology,Biology,"Ecology,  Conservation Biology,  Microbial Ecology",2008,male,alive
Barbara Liskov,https://en.wikipedia.org/wiki/Barbara_Liskov,Turing Award,Computer Science,Computer science,2008,female,alive
Gordon Moore,https://en.wikipedia.org/wiki/Gordon_Moore,IEEE Medal of Honor,Computer Science,Electrical engineering,2008,male,alive
Charles K. Kao,https://en.wikipedia.org/wiki/Charles_K._Kao,Nobel,Physics,"Optics, Electrical engineering",2009,male,alive
Willard S. Boyle,https://en.wikipedia.org/wiki/Willard_Boyle,Nobel,Physics,"Applied physics, Optics, Electrical engineering",2009,male,dead
George E. Smith,https://en.wikipedia.org/wiki/George_E._Smith,Nobel,Physics,"Applied physics, Optics, Electrical engineering",2009,male,alive
Venkatraman Ramakrishnan,https://en.wikipedia.org/wiki/Venkatraman_Ramakrishnan,Nobel,Chemistry,"Biochemistry, Biophysics",2009,male,alive
Thomas A. Steitz,https://en.wikipedia.org/wiki/Thomas_A._Steitz,Nobel,Chemistry,"Crystallography, Structural biology",2009,male,alive
Ada Yonath,https://en.wikipedia.org/wiki/Ada_Yonath,Nobel,Chemistry,Crystallography,2009,female,alive
Elizabeth Blackburn,https://en.wikipedia.org/wiki/Elizabeth_Blackburn,Nobel,Physiology or Medicine,Molecular biology,2009,female,alive
Carol W. Greider,https://en.wikipedia.org/wiki/Carol_W._Greider,Nobel,Physiology or Medicine,Molecular biology,2009,female,alive
Jack W. Szostak,https://en.wikipedia.org/wiki/Jack_W._Szostak,Nobel,Physiology or Medicine,"Biochemistry, Genetics, Synthetic Biology",2009,male,alive
Elinor Ostrom,https://en.wikipedia.org/wiki/Elinor_Ostrom,Nobel,Economics,"Public economics, Public choice theory",2009,female,alive
Oliver E. Williamson,https://en.wikipedia.org/wiki/Oliver_E._Williamson,Nobel,Economics,Microeconomics,2009,male,alive
Elizabeth Blackburn,https://en.wikipedia.org/wiki/Elizabeth_Blackburn,Citation Laureate,Physiology or Medicine,Molecular biology,2009,female,alive
Carol W. Greider,https://en.wikipedia.org/wiki/Carol_W._Greider,Citation Laureate,Physiology or Medicine,Molecular biology,2009,female,alive
Jack W. Szostak,https://en.wikipedia.org/wiki/Jack_W._Szostak,Citation Laureate,Physiology or Medicine,"Biochemistry, Genetics, Synthetic Biology",2009,male,alive
James E. Rothman,https://en.wikipedia.org/wiki/James_Rothman,Citation Laureate,Physiology or Medicine,Cell biology,2009,male,alive
Randy W. Schekman,https://en.wikipedia.org/wiki/Randy_Schekman,Citation Laureate,Physiology or Medicine,Biochemistry,2009,male,alive
Seiji Ogawa,https://en.wikipedia.org/wiki/Seiji_Ogawa,Citation Laureate,Physiology or Medicine,Biophysics,2009,male,alive
Yakir Aharonov,https://en.wikipedia.org/wiki/Yakir_Aharonov,Citation Laureate,Physics,Quantum physics,2009,male,alive
Michael Berry,https://en.wikipedia.org/wiki/Michael_Berry_(physicist),Citation Laureate,Physics,Mathematical physics,2009,male,alive
John Pendry,https://en.wikipedia.org/wiki/John_Pendry,Citation Laureate,Physics,"Theoretical physics,  Nano-optics, Optics",2009,male,alive
Sheldon Schultz,https://de.wikipedia.org/wiki/Sheldon_Schultz,Citation Laureate,Physics,Theoretical physics,2009,male,alive
David R. Smith,https://en.wikipedia.org/wiki/David_R._Smith,Citation Laureate,Physics,"Theoretical physics, Electromagnetic metamaterials",2009,male,alive
Juan Ignacio Cirac Sasturain,https://en.wikipedia.org/wiki/Juan_Ignacio_Cirac_Sasturain,Citation Laureate,Physics,"Physics, Quantum physics",2009,male,alive
Peter Zoller,https://en.wikipedia.org/wiki/Peter_Zoller,Citation Laureate,Physics,"Quantum optics, Quantum information",2009,male,alive
Michael Grätzel,https://en.wikipedia.org/wiki/Michael_Gr%C3%A4tzel,Citation Laureate,Chemistry,Photochemistry,2009,male,alive
Jacqueline Barton,https://en.wikipedia.org/wiki/Jacqueline_Barton,Citation Laureate,Chemistry,"Biophysics, Biochemistry",2009,female,alive
Bernd Giese,https://en.wikipedia.org/wiki/Bernd_Giese,Citation Laureate,Chemistry,Bio-organic chemistry,2009,male,alive
Gary Schuster,https://en.wikipedia.org/wiki/Gary_Schuster,Citation Laureate,Chemistry,"Chemistry, Biochemistry",2009,male,alive
Benjamin List,https://de.wikipedia.org/wiki/Benjamin_List,Citation Laureate,Chemistry,Chemistry,2009,male,alive
Ernst Fehr,https://en.wikipedia.org/wiki/Ernst_Fehr,Citation Laureate,Economics,Behavioral economics,2009,male,alive
Matthew Rabin,https://en.wikipedia.org/wiki/Matthew_Rabin,Citation Laureate,Economics,"Behavioral economics, Game theory",2009,male,alive
William Nordhaus,https://en.wikipedia.org/wiki/William_Nordhaus,Citation Laureate,Economics,Environmental economics,2009,male,alive
Martin Weitzman,https://en.wikipedia.org/wiki/Martin_Weitzman,Citation Laureate,Economics,Environmental economics,2009,male,alive
Jordi Galí,https://en.wikipedia.org/wiki/Jordi_Gal%C3%AD,Citation Laureate,Economics,Macroeconomics,2009,male,alive
Mark Gertler,https://en.wikipedia.org/wiki/Mark_Gertler_(economist),Citation Laureate,Economics,"Macroeconomics, Monetary economics",2009,male,alive
Mikhail Leonidovich Gromov,https://en.wikipedia.org/wiki/Mikhail_Leonidovich_Gromov,Abel Prize,Mathematics,Geometric group theory,2009,male,alive
Winslow Briggs,https://en.wikipedia.org/wiki/Winslow_Briggs,International Prize for Biology,Biology,Molecular biology,2009,male,alive
Charles P. Thacker,https://en.wikipedia.org/wiki/Charles_P._Thacker,Turing Award,Computer Science,Computer Science,2009,male,alive
Robert H. Dennard,https://en.wikipedia.org/wiki/Robert_H._Dennard,IEEE Medal of Honor,Computer Science,Electrical engineering,2009,male,alive
Andre Geim,https://en.wikipedia.org/wiki/Andre_Geim,Nobel,Physics,Condensed matter physics,2010,male,alive
Konstantin Novoselov,https://en.wikipedia.org/wiki/Konstantin_Novoselov,Nobel,Physics,Solid-state physics,2010,male,alive
Richard F. Heck,https://en.wikipedia.org/wiki/Richard_F._Heck,Nobel,Chemistry,Organic chemistry,2010,male,dead
Ei-ichi Negishi,https://en.wikipedia.org/wiki/Ei-ichi_Negishi,Nobel,Chemistry,Organic chemistry,2010,male,alive
Akira Suzuki,https://en.wikipedia.org/wiki/Akira_Suzuki_(chemist),Nobel,Chemistry,Organic chemistry,2010,male,alive
Robert G. Edwards,https://en.wikipedia.org/wiki/Robert_Edwards_(physiologist),Nobel,Physiology or Medicine,"Physiology, Reproductive medicine",2010,male,dead
Peter A. Diamond,https://en.wikipedia.org/wiki/Peter_Diamond,Nobel,Economics,"Political economics, Welfare economics, Behavioral economics",2010,male,alive
Dale T. Mortensen,https://en.wikipedia.org/wiki/Dale_T._Mortensen,Nobel,Economics,Labor economics,2010,male,dead
Christopher A. Pissarides,https://en.wikipedia.org/wiki/Christopher_A._Pissarides,Nobel,Economics,Labour economics,2010,male,alive
Douglas Coleman,https://en.wikipedia.org/wiki/Douglas_L._Coleman,Citation Laureate,Physiology or Medicine,Biochemistry,2010,male,dead
Jeffrey M. Friedman,https://en.wikipedia.org/wiki/Jeffrey_M._Friedman,Citation Laureate,Physiology or Medicine,Molecular geneticist,2010,male,alive
Ernest McCulloch,https://en.wikipedia.org/wiki/Ernest_McCulloch,Citation Laureate,Physiology or Medicine,"Cellular biology, Hematology,  Stem cell",2010,male,dead
James Till,https://en.wikipedia.org/wiki/James_Till,Citation Laureate,Physiology or Medicine,Biophysics,2010,male,alive
Shinya Yamanaka,https://en.wikipedia.org/wiki/Shinya_Yamanaka,Citation Laureate,Physiology or Medicine,Stem cell ,2010,male,alive
Ralph M. Steinman,https://en.wikipedia.org/wiki/Ralph_M._Steinman,Citation Laureate,Physiology or Medicine,"Immunology, Cell Biology",2010,male,dead
Saul Perlmutter,https://en.wikipedia.org/wiki/Saul_Perlmutter,Citation Laureate,Physics,Astrophysics,2010,male,alive
Adam G. Riess,https://en.wikipedia.org/wiki/Adam_Riess,Citation Laureate,Physics,Astrophysics,2010,male,alive
Brian Schmidt,https://en.wikipedia.org/wiki/Brian_Schmidt,Citation Laureate,Physics,Astrophysics,2010,male,alive
Charles L. Bennett,https://en.wikipedia.org/wiki/Charles_L._Bennett,Citation Laureate,Physics,Astrophysics,2010,male,alive
Lyman Page,https://en.wikipedia.org/wiki/Lyman_Page,Citation Laureate,Physics,Cosmology,2010,male,alive
David Spergel,https://en.wikipedia.org/wiki/David_Spergel,Citation Laureate,Physics,Astrophysics,2010,male,alive
Thomas Ebbesen,https://en.wikipedia.org/wiki/Thomas_Ebbesen,Citation Laureate,Physics,"Physical chemistry, Nanophotonics",2010,male,alive
Patrick O. Brown,https://en.wikipedia.org/wiki/Patrick_O._Brown,Citation Laureate,Chemistry,Biochemistry,2010,male,alive
Susumu Kitagawa,https://de.wikipedia.org/wiki/Susumu_Kitagawa,Citation Laureate,Chemistry,"Chemistry, Inorganic chemistry",2010,male,alive
Omar M. Yaghi,https://en.wikipedia.org/wiki/Omar_M._Yaghi,Citation Laureate,Chemistry,"Chemistry, Nanotechnology",2010,male,alive
Stephen J. Lippard,https://en.wikipedia.org/wiki/Stephen_J._Lippard,Citation Laureate,Chemistry,Bioinorganic chemistry,2010,male,alive
